,Data,LDA_topic,LDA_topic_tfidf
0,how to access google,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
1,how to access missed call alert,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.089*""transfer"" + 0.077*""link"" + 0.068*""stop"" + 0.064*""prime"""
2,how to access my sd card on myideafi device,"0.162*""today"" + 0.154*""balanc"" + 0.098*""data"" + 0.069*""card""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
3,how to access myidea fi device for changing password and all,"0.293*""coupon"" + 0.259*""myidea"" + 0.042*""updat"" + 0.038*""onlin""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
4,how to access that one video is taking how much gb,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
5,how to account setting,"0.143*""phone"" + 0.134*""redeem"" + 0.097*""paytm"" + 0.081*""voic""","0.086*""voic"" + 0.071*""sign"" + 0.071*""password"" + 0.056*""appli"""
6,how to account use,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
7,how to account with,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
8,how to account with idea,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
9,how to achieve idea new celebration offer,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
10,how to act,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
11,how to activate,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
12,how to activate 10gb data free,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
13,how to activate 16 gb free data,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
14,how to activate 1gp cadbury dairy milk offer,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
15,how to activate 2 years celebrate of idea pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
16,how to activate 2gb data free,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
17,how to activate 2gb data per day,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
18,how to activate 3gb data,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
19,how to activate a remedy,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
20,how to activate a voucher,"0.454*""voucher"" + 0.320*""recharg"" + 0.046*""rupe"" + 0.039*""ideatv""","0.227*""voucher"" + 0.127*""redeem"" + 0.120*""myidea"" + 0.099*""account"""
21,how to activate account last week itself rechargef,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
22,how to activate add on,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
23,how to activate add on data,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
24,how to activate add on pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
25,how to activate add on plan,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
26,how to activate airplane,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
27,how to activate anniversary data pack,"0.475*""data"" + 0.158*""free"" + 0.120*""chang"" + 0.028*""password""","0.120*""coupon"" + 0.115*""download"" + 0.108*""rington"" + 0.068*""unlock"""
28,how to activate cadbury celebrations plan in my mobile,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
29,how to activate cadburys offer,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
30,how to activate calibration offer,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
31,how to activate call service,"0.261*""offer"" + 0.154*""idea"" + 0.067*""celebr"" + 0.056*""delet""","0.203*""chang"" + 0.076*""login"" + 0.059*""ideamus"" + 0.054*""today"""
32,how to activate callers tune,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.142*""tune"" + 0.127*""ideasim"" + 0.080*""deactiv"" + 0.066*""caller"""
33,how to activate calls,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
34,how to activate calls on idea,"0.158*""idea"" + 0.143*""tune"" + 0.098*""call"" + 0.092*""rington""","0.091*""call"" + 0.076*""ideatv"" + 0.060*""open"" + 0.057*""block"""
35,how to activate celebrate pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
36,how to activate celebration pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
37,how to activate celebration pack for myideanumber,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
38,how to activate celebration pack in myideanumber,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
39,how to activate celibration offer,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.120*""coupon"" + 0.115*""download"" + 0.108*""rington"" + 0.068*""unlock"""
40,how to activate channel pack,"0.211*""pack"" + 0.133*""idea"" + 0.122*""celebr"" + 0.069*""play""","0.161*""idea"" + 0.124*""pack"" + 0.118*""plan"" + 0.117*""offer"""
41,how to activate cute plant,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
42,how to activate dairy milk idea offer,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
43,how to activate dairy milk offer,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
44,how to activate dairy milk offer in idea,"0.259*""plan"" + 0.108*""milk"" + 0.102*""dairi"" + 0.073*""cadburi""","0.166*""check"" + 0.082*""milk"" + 0.076*""dairi"" + 0.072*""data"""
45,how to activate data,"0.160*""account"" + 0.159*""ideaphon"" + 0.130*""activ"" + 0.074*""internet""","0.150*""activ"" + 0.139*""ideaphon"" + 0.087*""internet"" + 0.071*""connect"""
46,how to activate data booster,"0.167*""data"" + 0.113*""ideanumb"" + 0.108*""booster"" + 0.092*""network""","0.260*""data"" + 0.180*""free"" + 0.054*""regist"" + 0.050*""send"""
